#Wavelength,Qabs,Qsca,Qext
400,1.6547375754608797E-14,8.665402189087083E-15,2.521277794369588E-14
402.7027027027027,1.6525903108923177E-14,8.520289907343383E-15,2.504619301626656E-14
405.4054054054054,1.6500223130407764E-14,8.376506455234517E-15,2.4876729585642283E-14
408.10810810810807,1.6470531913478475E-14,8.234180706845118E-15,2.4704712620323592E-14
410.8108108108108,1.6437025494613048E-14,8.09342914086745E-15,2.45304546354805E-14
413.5135135135135,1.6400051645816702E-14,7.953081881393702E-15,2.4353133527210406E-14
416.2162162162162,1.636146844877127E-14,7.799962655732983E-15,2.416143110450425E-14
418.9189189189189,1.6319726543063468E-14,7.649276142835332E-15,2.39690026858988E-14
421.6216216216216,1.6275026510504466E-14,7.501088749468275E-15,2.377611525997274E-14
424.3243243243243,1.6227563646284442E-14,7.355455443075083E-15,2.3583019089359524E-14
427.02702702702703,1.6177527514791897E-14,7.212420524910039E-15,2.3389948039701935E-14
429.72972972972974,1.6125101583711128E-14,7.072018394741164E-15,2.3197119978452292E-14
432.4324324324324,1.610891805700235E-14,6.94159253354297E-15,2.3050510590545322E-14
435.1351351351351,1.6107505215633943E-14,6.8171990873619574E-15,2.2924704302995902E-14
437.8378378378378,1.610590851228185E-14,6.6959702802919635E-15,2.2801878792573812E-14
440.5405405405405,1.6104244905734616E-14,6.5778734896536616E-15,2.2682118395388276E-14
443.2432432432432,1.6102625386843526E-14,6.4628716557374624E-15,2.2565497042580987E-14
445.94594594594594,1.610115517771403E-14,6.350923890875943E-15,2.2452079068589972E-14
448.64864864864865,1.609993394238842E-14,6.241986040277554E-15,2.2341919982665972E-14
451.35135135135135,1.609978831135628E-14,6.132648541880664E-15,2.2232436853236944E-14
454.05405405405406,1.610366300590256E-14,6.009694600932143E-15,2.2113357606834702E-14
456.7567567567568,1.6107939873222103E-14,5.890008425689475E-15,2.1997948298911578E-14
459.4594594594594,1.6112692853194823E-14,5.7735218947649664E-15,2.1886214747959788E-14
462.16216216216213,1.6117990071065785E-14,5.660165402686655E-15,2.177815547375244E-14
464.86486486486484,1.6123894060281795E-14,5.549868258547941E-15,2.1673762318829736E-14
467.56756756756755,1.6130461981054964E-14,5.4425590418229755E-15,2.157302102287794E-14
470.27027027027026,1.6137745829456047E-14,5.338165919293835E-15,2.1475911748749882E-14
472.97297297297297,1.6246982574471597E-14,5.298175628109407E-15,2.1545158202581003E-14
475.6756756756757,1.6436520693604937E-14,5.308762695384706E-15,2.1745283388989644E-14
478.37837837837833,1.6635790746085506E-14,5.3268956793085546E-15,2.196268642539406E-14
481.08108108108115,1.6845161922271786E-14,5.352894418970887E-15,2.2198056341242673E-14
483.78378378378375,1.7065029728869755E-14,5.387127332544193E-15,2.245215706141395E-14
486.48648648648646,1.729581789477021E-14,5.430017404159039E-15,2.2725835298929248E-14
489.18918918918916,1.753798033168328E-14,5.482049138497137E-15,2.3020029470180418E-14
491.8918918918919,1.7792003117087776E-14,5.543776672747632E-15,2.3335779789835408E-14
494.5945945945946,1.8058406481204168E-14,5.615833266200124E-15,2.367423974740429E-14
497.2972972972973,1.8391829041711266E-14,5.825910408924879E-15,2.4217739450636145E-14
500,1.8766351875489983E-14,6.182940181005086E-15,2.494929205649507E-14
502.70270270270277,1.9117051096782384E-14,6.575455533352994E-15,2.569250663013538E-14
505.4054054054055,1.9433579681098323E-14,7.005286594927049E-15,2.6438866276025373E-14
508.10810810810807,1.970322981947082E-14,7.473763519330184E-15,2.7176993338801003E-14
510.8108108108108,1.9910663716321833E-14,7.981379645292408E-15,2.7892043361614243E-14
513.5135135135134,2.0037699348883688E-14,8.527389903965529E-15,2.856508925284922E-14
516.2162162162163,2.0063278069178083E-14,9.109308709810053E-15,2.917258677898813E-14
518.918918918919,1.9963729127742034E-14,9.722327168510229E-15,2.9686056296252265E-14
521.6216216216217,1.9612953024017574E-14,1.0232033834516272E-14,2.9844986858533846E-14
524.3243243243244,1.8870729428639514E-14,1.0369442532856341E-14,2.9240171961495855E-14
527.0270270270271,1.8050851727695165E-14,1.045664602542894E-14,2.8507497753124104E-14
529.7297297297298,1.7166396667055262E-14,1.0493183580599862E-14,2.7659580247655124E-14
532.4324324324324,1.623186136013537E-14,1.0480056145669435E-14,2.6711917505804804E-14
535.1351351351352,1.5262423325271233E-14,1.0419607818300809E-14,2.5682031143572042E-14
537.8378378378378,1.4273204576030123E-14,1.0315323542768544E-14,2.4588528118798665E-14
540.5405405405405,1.3278608473729402E-14,1.0171570096763953E-14,2.3450178570493355E-14
543.2432432432432,1.2291780783084117E-14,9.993310927957004E-15,2.228509171104112E-14
