#Wavelength,Qabs,Qsca,Qext
400,9.369395713872469E-16,9.735199535714933E-17,1.0342915667443963E-15
402.7027027027027,9.304815183103031E-16,9.599531946987445E-17,1.0264768377801776E-15
405.4054054054054,9.241271241260676E-16,9.46716652546798E-17,1.0187987893807473E-15
408.10810810810807,9.178738405661861E-16,9.337991831377612E-17,1.0112537588799622E-15
410.8108108108108,9.117191997793437E-16,9.211901178575477E-17,1.0038382115650985E-15
413.5135135135135,9.05715261048305E-16,9.087760310323221E-17,9.96592864151537E-16
416.2162162162162,9.00439296040274E-16,8.954681342945208E-17,9.899861094697262E-16
418.9189189189189,8.95253628104115E-16,8.82477185405525E-17,9.835013466446676E-16
421.6216216216216,8.901560717342809E-16,8.697927826081907E-17,9.771353499951E-16
424.3243243243243,8.851445106526822E-16,8.574049548097514E-17,9.708850061336574E-16
427.02702702702703,8.802168949656905E-16,8.45304140967652E-17,9.647473090624556E-16
429.72972972972974,8.753712388354319E-16,8.334811692939543E-17,9.587193557648273E-16
432.4324324324324,8.745797118477339E-16,8.241101847216699E-17,9.56990730319901E-16
435.1351351351351,8.754707492722382E-16,8.158663686042091E-17,9.570573861326592E-16
437.8378378378378,8.76463028202486E-16,8.07872206952021E-17,9.57250248897688E-16
440.5405405405405,8.775561238772255E-16,8.001213499362063E-17,9.575682588708462E-16
443.2432432432432,8.787496814129713E-16,7.926077448120243E-17,9.580104558941737E-16
445.94594594594594,8.800434148409638E-16,7.853256232642838E-17,9.585759771673922E-16
448.64864864864865,8.814371061283339E-16,7.782694898358543E-17,9.592640551119192E-16
451.35135135135135,8.831346261559938E-16,7.711435256833778E-17,9.602489787243316E-16
454.05405405405406,8.859546316696738E-16,7.627852888794343E-17,9.622331605576173E-16
456.7567567567568,8.888828505571831E-16,7.546395567387558E-17,9.643468062310586E-16
459.4594594594594,8.919186615430091E-16,7.466985979213587E-17,9.66588521335145E-16
462.16216216216213,8.95062422551903E-16,7.389607707918166E-17,9.689584996310848E-16
464.86486486486484,8.983135682830968E-16,7.314187293818084E-17,9.714554412212776E-16
467.56756756756755,9.016718588620216E-16,7.240673240722808E-17,9.740785912692497E-16
470.27027027027026,9.051370666754123E-16,7.169015992021006E-17,9.768272265956223E-16
472.97297297297297,9.161488579841018E-16,7.190725076792565E-17,9.880561087520274E-16
475.6756756756757,9.330012929473708E-16,7.286796351653905E-17,1.00586925646391E-15
478.37837837837833,9.504761364453597E-16,7.393872051055084E-17,1.0244148569559105E-15
481.08108108108115,9.68600152900856E-16,7.512717210874976E-17,1.0437273250096058E-15
