#Wavelength,Qabs,Qsca,Qext
300,1.2951030756055388E-14,5.2419638794472615E-15,1.819299463550265E-14
303.3783783783784,1.2276794197468596E-14,4.2013395901119494E-15,1.6478133787580544E-14
306.7567567567568,1.126867288858435E-14,3.126499882212652E-15,1.4395172770797002E-14
310.13513513513516,9.98724864712987E-15,2.1801565749499154E-15,1.2167405222079785E-14
313.51351351351354,8.821012942818324E-15,1.5478746472144763E-15,1.03688875900328E-14
316.8918918918919,7.557870412213971E-15,1.128866758538887E-15,8.686737170752858E-15
320.27027027027026,6.160961563313842E-15,8.93993648625729E-16,7.0549552119395706E-15
323.64864864864865,6.864987810463846E-15,1.7246749036497115E-15,8.589662714113558E-15
327.02702702702703,6.860019910824326E-15,2.927775214174189E-15,9.787795124998516E-15
330.4054054054054,5.546893566791402E-15,4.663674515633783E-15,1.0210568082425186E-14
333.7837837837838,5.116346224312577E-15,6.231503160846992E-15,1.134784938515957E-14
337.1621621621622,5.991352872980316E-15,7.724594466240382E-15,1.3715947339220698E-14
340.5405405405406,7.27792349511721E-15,9.667063830149929E-15,1.694498732526714E-14
343.9189189189189,9.189844370165267E-15,1.20449266385339E-14,2.1234771008699168E-14
347.2972972972973,1.2019027872509193E-14,1.4917305762039796E-14,2.693633363454899E-14
350.6756756756757,1.6659998408083457E-14,1.882912507382164E-14,3.54891234819051E-14
354.05405405405406,1.8552683206813155E-14,2.3216151361926824E-14,4.1768834568739976E-14
357.43243243243245,1.420868389606272E-14,2.586872329324902E-14,4.007740718931174E-14
360.81081081081084,1.0393496893373799E-14,2.89499662651918E-14,3.93434631585656E-14
364.1891891891892,8.319470676320314E-15,3.287349605038626E-14,4.1192966726706575E-14
367.5675675675676,7.222307435308609E-15,3.7571858610958715E-14,4.479416604626732E-14
370.94594594594594,6.752752905268855E-15,4.221010654893139E-14,4.8962859454200244E-14
374.3243243243243,6.445078816205578E-15,4.713023435097997E-14,5.3575313167185547E-14
377.7027027027027,6.164647322342074E-15,5.2208923719292206E-14,5.837357104163428E-14
381.0810810810811,5.844060754913962E-15,5.717357367054698E-14,6.301763442546095E-14
384.4594594594595,5.904200250588387E-15,6.056260799995266E-14,6.646680825054105E-14
387.83783783783787,5.96852461463482E-15,6.310594393922215E-14,6.907446855385696E-14
