#Wavelength,Qabs,Qsca,Qext
300,1.4158981285521796E-16,3.487727896068226E-18,1.4507754075128619E-16
303.3783783783784,1.3272505390425795E-16,2.7304205295398843E-18,1.3545547443379783E-16
306.7567567567568,1.2058259165678328E-16,1.981302346691868E-18,1.2256389400347514E-16
310.13513513513516,1.0510870797889906E-16,1.3380412842160346E-18,1.064467492631151E-16
313.51351351351354,9.482100729634484E-17,9.597519642053115E-19,9.578075926055015E-17
316.8918918918919,8.316537028823063E-17,7.1344737003463E-19,8.387881765826527E-17
320.27027027027026,6.895384785674976E-17,5.796524797064329E-19,6.953350033645619E-17
323.64864864864865,9.156567223615142E-17,1.4270562690648705E-18,9.29927285052163E-17
327.02702702702703,1.093115468895246E-16,3.081177738443874E-18,1.1239272462796848E-16
330.4054054054054,1.0526796175516142E-16,6.27200753490948E-18,1.115399692900709E-16
333.7837837837838,1.1089502873063411E-16,1.0249900031780777E-17,1.2114492876241488E-16
337.1621621621622,1.4832175424839462E-16,1.5750213840484776E-17,1.640719680888794E-16
340.5405405405406,2.0896326599447933E-16,2.5789741415956634E-17,2.3475300741043596E-16
343.9189189189189,3.04722660861717E-16,4.4247874460867736E-17,3.4897053532258473E-16
347.2972972972973,4.553337841013366E-16,7.903532352471867E-17,5.343691076260552E-16
350.6756756756757,7.463005246404843E-16,1.5729347986458404E-16,9.035940045050683E-16
354.05405405405406,1.2882874531424617E-15,3.3161077198728763E-16,1.6198982251297494E-15
357.43243243243245,1.5899749458274449E-15,4.7123009003034E-16,2.0612050358577848E-15
360.81081081081084,1.2653254601260042E-15,4.324569869278057E-16,1.69778244705381E-15
364.1891891891892,7.387968092567103E-16,2.926735291471607E-16,1.031470338403871E-15
367.5675675675676,4.060978455081347E-16,1.8809113512369357E-16,5.941889806318283E-16
370.94594594594594,2.4954960191631625E-16,1.312332041963713E-16,3.8078280611268755E-16
374.3243243243243,1.6148048552512412E-16,9.659077409272907E-17,2.580712596178532E-16
377.7027027027027,1.0830732253144262E-16,7.417766757202654E-17,1.8248499010346916E-16
381.0810810810811,7.463621506097603E-17,5.898089200381958E-17,1.3361710706479561E-16
384.4594594594595,5.898851856128155E-17,4.9198076209650003E-17,1.0818659477093155E-16
387.83783783783787,4.829262407021851E-17,4.1933928823695015E-17,9.022655289391352E-17
391.21621621621625,4.016356085399273E-17,3.629718857261954E-17,7.646074942661226E-17
394.59459459459464,3.3851926538023097E-17,3.1828992961789665E-17,6.568091949981276E-17
397.97297297297297,2.8864501758597656E-17,2.822431428702549E-17,5.708881604562315E-17
401.35135135135135,2.4870957405641744E-17,2.5277029032727003E-17,5.014798643836875E-17
404.72972972972974,2.1615495561366817E-17,2.2824522549201538E-17,4.4440018110568354E-17
408.1081081081081,1.8929681386621842E-17,2.0759236410948498E-17,3.968891779757034E-17
411.4864864864865,1.6690169221143558E-17,1.9001451781323835E-17,3.569162100246739E-17
414.8648648648649,1.4653506720532926E-17,1.7575475646609703E-17,3.222898236714263E-17
418.2432432432433,1.2752645834238453E-17,1.641302253914058E-17,2.9165668373379036E-17
421.62162162162167,1.1118418027644011E-17,1.5377887127464374E-17,2.6496305155108385E-17
425,9.707018761587071E-18,1.4451348804155896E-17,2.4158367565742967E-17
428.3783783783784,8.482984632181354E-18,1.3618296042794548E-17,2.2101280674975902E-17
431.7567567567568,7.580587984482598E-18,1.2888331454320803E-17,2.0468919438803403E-17
435.13513513513516,7.038379698851636E-18,1.2258223387436311E-17,1.9296603086287947E-17
438.51351351351354,6.547822371709574E-18,1.1679637097157113E-17,1.8227459468866686E-17
441.89189189189193,6.102761041144506E-18,1.1146876482887042E-17,1.7249637524031548E-17
445.2702702702703,5.69791829197393E-18,1.0655022700434692E-17,1.6352940992408624E-17
448.6486486486487,5.3287493528703504E-18,1.0199809496750697E-17,1.5528558849621047E-17
452.02702702702703,5.05184282382233E-18,9.77005685019697E-18,1.48218996740193E-17
455.4054054054054,4.9088356074361616E-18,9.357593470768808E-18,1.426642907820497E-17
458.7837837837838,4.770456119719318E-18,8.9752718650764E-18,1.3745727984795718E-17
462.1621621621622,4.636663177239239E-18,8.620048828451685E-18,1.3256712005690924E-17
465.5405405405406,4.507380850537445E-18,8.289307956949264E-18,1.279668880748671E-17
